"Add to Wish List", "لیست علاقه‌مندی"
"Add to Compare", "مقایسه"
"Your Checkout Progress", "روند تسویه"
"Card Verification Number", "CVV"
"Items %1-%2 of %3","%3 آیتم"
"Regular Price", "بود"
"Shop By","فیلتر"
"Remove item", "حذف"
"Proceed to Checkout", "رفتن به تسویه"
"Grand Total", "مبلغ کل"
"Review by", "توسط"
"View Order", "نمایش"
"Update Shopping Cart", "به‌روز کردن سبد"
"Print Order", "چاپ"
"Move to Wish List","انتقال"
"Copy to Wish List","رونوشت"
"Move Selected to Wish List", "انتقال انتخاب شده‌ها"
"Copy Selected to Wish List", "رونوشت انتخاب شده‌ها"
"%1 items in wish list", "%1 آیتم"
"1 item in wish list", "1 آیتم"
"Continue to Shipping Information", "انتخاب روش پرداخت"
"Sign In","ورود به حساب کاربری"
"or","/"
"Create an Account","ثبت‌نام"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
